name,company,region,payment_type,price
"('Термос 1000 мл из нерж. стали ( стеклянная колба) ',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",4500,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"(""Термос ''BergHOFF'', 2л"",)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",5200,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Термос с рифленой крышкой',)","Магазин необычных и оригинальных подарков ""UDIVI.KZ"".",Алматы,"Перевод на банковскую карту,реквизиты уточняйте у менеджера., Наличными",6000,"['+7 (727) 327-99-39', '+7 (707) 448-85-15', '+7 (747) 429-28-51']"
"('Термос с пневмонасосом, 3 л, черно-серебристый',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",10500,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"(' Термос металлический с чашкой.',)","Магазин необычных и оригинальных подарков ""UDIVI.KZ"".",Алматы,"Перевод на банковскую карту,реквизиты уточняйте у менеджера., Наличными",6000,"['+7 (727) 327-99-39', '+7 (707) 448-85-15', '+7 (747) 429-28-51']"
"('ВОЛЮМ стальной термос IKEA',)",DomMart Kazakhstan,Астана,"Наложенный платеж, Безналичный расчет",5200,['+7 (778) 667-88-99']
"('Термос бутылочка',)",Homeline ,Алматы,"Наложенный платеж, Безналичный расчет",3200,['+7 (727) 323-11-09']
"('Термос с чехлом 1 л',)",Wellamart,Алматы,"Безналичный расчет, Наличными",3490,"['+7 (727) 323-11-10', '+7 (776) 246-10-25']"
"('Термоконтейнер 630 мл.',)","ТОО ""Sergio Group""",Алматы,"Безналичный расчет, Наличными",7100,"['+7 (707) 158-59-09', '+7 (727) 258-59-09', '+7 (727) 258-59-70']"
"('Термос 1000 мл',)","ТОО ""Sergio Group""",Алматы,"Безналичный расчет, Наличными",8200,"['+7 (707) 158-59-09', '+7 (727) 258-59-09', '+7 (727) 258-59-70']"
"('Термос 1900 мл',)","ТОО ""Sergio Group""",Алматы,"Безналичный расчет, Наличными",8900,"['+7 (707) 158-59-09', '+7 (727) 258-59-09', '+7 (727) 258-59-70']"
"('Термос 350 мл.',)","ТОО ""Sergio Group""",Алматы,"Безналичный расчет, Наличными",6400,"['+7 (707) 158-59-09', '+7 (727) 258-59-09', '+7 (727) 258-59-70']"
"('БЕХОВД Термос 1л арт. 701.500.72 IKEA',)",DomMart Kazakhstan,Астана,"Наложенный платеж, Безналичный расчет",3300,['+7 (778) 667-88-99']
"('Туристический термос с чехлом 1 л',)",Wellamart,Алматы,"Безналичный расчет, Наличными",3490,"['+7 (727) 323-11-10', '+7 (776) 246-10-25']"
"('Термос Sport  (Спорт), 600 мл, Алматы',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",3750,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
